"","Name","Position","Age","Team","Games","GS","AFP"
"471","Noah Vonleh","C",24,"TOT",36,1,12.45
"472","Cristiano Felício","C",27,"CHI",22,0,12.45
"473","Yogi Ferrell","PG",26,"SAC",50,0,12.4
"474","Johnathan Williams","PF",24,"WAS",15,6,12.25
"475","John Konchar","SG",23,"MEM",19,0,12.2
"476","Ante Žižić","C",23,"CLE",22,0,12.1
"477","Jordan Bell","C",25,"MEM",2,0,12
"478","Gary Clark","SF",25,"ORL",24,5,12
"479","Anthony Tolliver","PF",34,"TOT",55,13,11.95
"480","Gary Clark","PF",25,"HOU",18,0,11.9
"481","Jacob Evans","SG",22,"GSW",27,1,11.85
"482","Bruno Fernando","C",21,"ATL",56,13,11.85
"483","JaKarr Sampson","PF",26,"IND",34,12,11.75
"484","Evan Turner","SG",31,"ATL",19,0,11.75
"485","Daniel Gafford","C",21,"CHI",43,7,11.75
"486","Matthew Dellavedova","PG",29,"CLE",57,4,11.7
"487","Gary Clark","SF-PF",25,"TOT",42,5,11.65
"488","Theo Pinson","SG",24,"BRK",33,0,11.65
"489","Marko Guduric","SG",24,"MEM",44,0,11.5
"490","Courtney Lee","SG",34,"DAL",24,9,11.5
"491","Alfonzo McKinnie","SF",27,"CLE",40,1,11.5
"492","Eric Mika","C",25,"SAC",1,0,11.5
"493","Garrison Mathews","SG",23,"WAS",18,0,11.5
"494","Michael Kidd-Gilchrist","PF",26,"CHO",12,0,11.45
"495","D.J. Wilson","PF",23,"MIL",37,1,11.45
"496","Donta Hall","C-PF",22,"TOT",9,0,11.4
"497","Dragan Bender","C",22,"MIL",7,0,11.35
"498","Treveon Graham","SF",26,"TOT",55,20,11.35
"499","Kevon Looney","C",23,"GSW",20,4,11.25
"500","Jacob Evans","SG",22,"TOT",29,1,11.2
"501","Naz Mitrou-Long","SG",26,"IND",5,0,11.2
"502","Jarrell Brantley","PF",23,"UTA",9,0,11.2
"503","Alen Smailagić","C",19,"GSW",14,0,11.1
"504","Ty Jerome","SG",22,"PHO",31,0,11.05
"505","Jordan Bell","C",25,"MIN",27,0,10.9
"506","Udonis Haslem","C",39,"MIA",4,1,10.85
"507","Paul Watson","SF",25,"TOT",10,0,10.85
"508","Jaylen Nowell","SG",20,"MIN",15,0,10.75
"509","Troy Daniels","SG",28,"TOT",47,0,10.7
"510","Tremont Waters","PG",22,"BOS",11,1,10.7
"511","Jordan Bell","C",25,"TOT",29,0,10.65
"512","Rodney McGruder","SG",28,"LAC",56,4,10.65
"513","Bruno Caboclo","C",24,"HOU",8,0,10.6
"514","DeMarre Carroll","SF-C",33,"TOT",24,0,10.55
"515","Troy Daniels","SG",28,"LAL",41,0,10.55
"516","Juan Hernangómez","PF",24,"DEN",34,0,10.35
"517","Troy Daniels","SG",28,"DEN",6,0,10.2
"518","Zach Norvell","SG",22,"GSW",3,0,10.15
"519","Chimezie Metu","C",22,"SAS",18,0,10.1
"520","Chandler Parsons","PF",31,"ATL",5,0,10.1
"521","Javonte Green","SG",26,"BOS",48,2,9.95
"522","Miye Oni","SF",22,"UTA",10,1,9.95
"523","Andre Roberson","SF",28,"OKC",7,0,9.95
"524","Semi Ojeleye","PF",25,"BOS",69,6,9.9
"525","Jerian Grant","SG",27,"WAS",6,0,9.8
"526","T.J. Leaf","PF",22,"IND",28,1,9.8
"527","Jordan McRae","SG",28,"DEN",4,0,9.75
"528","Bruno Caboclo","C",24,"TOT",30,0,9.6
"529","Caleb Swanigan","PF",22,"POR",20,1,9.55
"530","Nassir Little","PF",19,"POR",48,5,9.55
"531","Justin Anderson","SG",26,"BRK",10,1,9.45
"532","Tacko Fall","C",24,"BOS",7,0,9.4
"533","Bruno Caboclo","C",24,"MEM",22,0,9.3
"534","Thabo Sefolosha","PF",35,"HOU",41,0,9.1
"535","Goga Bitadze","C",20,"IND",54,2,9
"536","Joakim Noah","C",34,"LAC",5,0,8.9
"537","B.J. Johnson","SF",24,"ORL",10,0,8.85
"538","Carsen Edwards","SG",21,"BOS",37,0,8.85
"539","Jaylen Hoard","PF",20,"POR",13,0,8.65
"540","Mfiondu Kabengele","C",22,"LAC",12,0,8.6
"541","Grant Williams","PF",21,"BOS",69,5,8.6
"542","Treveon Graham","SF",26,"ATL",22,0,8.6
"543","Jerome Robinson","SG",22,"LAC",42,1,8.45
"544","DaQuan Jeffries","SG",22,"SAC",13,0,8.45
"545","Stanley Johnson","PF",23,"TOR",25,0,8.2
"546","Alize Johnson","PF",23,"IND",17,1,8.15
"547","Rayjon Tucker","SG",22,"UTA",20,0,7.85
"548","Lance Thomas","PF",31,"BRK",7,4,7.8
"549","Tyrone Wallace","SG",25,"ATL",14,0,7.7
"550","Terance Mann","SF",23,"LAC",41,6,7.65
"551","Deonte Burton","SF",26,"OKC",39,0,7.55
"552","Justin James","SF",23,"SAC",36,0,7.55
"553","Amir Coffey","SG",22,"LAC",18,1,7.55
"554","Gabe Vincent","PG",23,"MIA",9,0,7.55
"555","Marial Shayok","SG",24,"PHI",4,0,7.4
"556","Chris Silva","PF",23,"MIA",44,0,7.35
"557","Michael Kidd-Gilchrist","PF",26,"TOT",25,0,7.25
"558","Allen Crabbe","SF",27,"MIN",9,0,7.2
"559","Thanasis Antetokounmpo","SF",27,"MIL",20,2,7.15
"560","Chasson Randle","PG",26,"GSW",3,0,7.1
"561","Dewan Hernandez","C",23,"TOR",6,0,7
"562","Admiral Schofield","PF",22,"WAS",33,2,6.95
"563","Caleb Swanigan","PF-C",22,"TOT",27,1,6.95
"564","Devon Hall","PG",24,"OKC",11,0,6.85
"565","Terrance Ferguson","SF",21,"OKC",56,38,6.8
"566","Tyler Cook","SF",22,"DEN",2,0,6.75
"567","Jarrod Uthoff","PF",26,"TOT",7,0,6.75
"568","Norvel Pelle","C",26,"PHI",24,0,6.75
"569","Romeo Langford","SG",20,"BOS",32,2,6.6
"570","Kevin Hervey","PF",23,"OKC",10,0,6.4
"571","Zach Norvell","SG",22,"TOT",5,0,6.4
"572","Jonah Bolden","C",24,"PHO",3,0,6.3
"573","Ed Davis","C",30,"UTA",28,1,6.2
"574","J.R. Smith","SG",34,"LAL",6,0,6.2
"575","Derrick Walton","PG",24,"LAC",23,1,6.2
"576","DeMarre Carroll","SF",33,"SAS",15,0,6.15
"577","Derrick Walton","PG",24,"DET",3,0,6.15
"578","Yuta Watanabe","SF",25,"MEM",18,0,6.05
"579","Derrick Walton","PG",24,"TOT",26,1,6
"580","Dean Wade","PF",23,"CLE",12,0,5.95
"581","Shamorie Ponds","PG",21,"TOR",4,0,5.95
"582","Vincent Poirier","C",26,"BOS",22,0,5.85
"583","Dante Exum","SG",24,"UTA",11,0,5.65
"584","Wenyen Gabriel","PF",22,"POR",19,1,5.65
"585","Vic Law","PF",24,"ORL",8,0,5.6
"586","Johnathan Motley","PF",24,"LAC",13,0,5.55
"587","Luc Mbah a Moute","PF",33,"HOU",3,0,5.4
"588","Zylan Cheatham","PF",24,"NOP",4,0,5.35
"589","Melvin Frazier","SG",23,"ORL",19,0,5.3
"590","Adam Mokoka","SF",21,"CHI",11,0,5.15
"591","Wenyen Gabriel","PF",22,"TOT",30,1,5.15
"592","Oshae Brissett","SF",21,"TOR",19,0,5.15
"593","Donta Hall","PF",22,"DET",4,0,5.15
"594","Justin Robinson","PG",22,"WAS",9,0,5.1
"595","Charlie Brown","SG",22,"ATL",10,0,5.05
"596","Louis King","SF",20,"DET",10,0,5
"597","KZ Okpala","PF",20,"MIA",5,0,5
"598","Jared Dudley","PF",34,"LAL",45,1,4.95
"599","Tyson Chandler","C",37,"HOU",26,5,4.8
"600","Paul Watson","SF",25,"ATL",2,0,4.75
"601","Ignas Brazdeikis","SF",21,"NYK",9,0,4.75
"602","Josh Magette","PG",30,"ORL",8,0,4.65
"603","Tyler Cook","PF-SF",22,"TOT",13,0,4.6
"604","Tyler Zeller","C",30,"SAS",2,0,4.5
"605","Wenyen Gabriel","PF",22,"SAC",11,0,4.4
"606","Noah Vonleh","C",24,"DEN",7,0,4.4
"607","Max Strus","SF",23,"CHI",2,0,4.25
"608","Nigel Williams-Goss","PG",25,"UTA",10,0,4.2
"609","Matt Mooney","SG",22,"CLE",4,0,4.15
"610","Tyler Cook","PF",22,"CLE",11,0,4.1
"611","Quinndary Weatherspoon","SG",23,"SAS",11,0,4.05
"612","Justin Patton","C",22,"OKC",5,0,4
"613","Juwan Morgan","PF",22,"UTA",21,0,3.95
"614","Tariq Owens","PF",24,"PHO",3,0,3.75
"615","Josh Reaves","SF",22,"DAL",4,0,3.75
"616","Anthony Tolliver","PF",34,"SAC",9,0,3.75
"617","Malcolm Miller","SF",26,"TOR",28,1,3.7
"618","Jalen Lecque","SG",19,"PHO",5,0,3.7
"619","Marques Bolden","C",21,"CLE",1,0,3.5
"620","Jordan Bone","PG",22,"DET",10,0,3.5
"621","Amile Jefferson","PF",26,"ORL",18,0,3.5
"622","Michael Kidd-Gilchrist","PF",26,"DAL",13,0,3.35
"623","Khyri Thomas","SG",23,"DET",8,0,3.35
"624","Moses Brown","C",20,"POR",9,0,3.3
"625","Corey Brewer","PF",33,"SAC",5,0,3.3
"626","Kostas Antetokounmpo","PF",22,"LAL",5,0,3.2
"627","Brian Bowen","SF",21,"IND",6,1,3.15
"628","Kyle Guy","SG",22,"SAC",3,0,3.15
"629","Vlatko Čančar","PF",22,"DEN",14,0,3.05
"630","Malik Newman","SG",22,"CLE",1,0,3
"631","Jarred Vanderbilt","PF",20,"MIN",2,0,3
"632","Jarred Vanderbilt","PF",20,"TOT",11,0,2.95
"633","Henry Ellenson","C",23,"BRK",5,0,2.7
"634","Jonah Bolden","C",24,"TOT",7,0,2.7
"635","Jarred Vanderbilt","PF",20,"DEN",9,0,2.45
"636","Zhaire Smith","SF",20,"PHI",7,0,2.4
"637","Antonius Cleveland","SG",25,"DAL",11,0,2.35
"638","Kyle Alexander","C",23,"MIA",2,0,2.25
"639","Jarrod Uthoff","PF",26,"MEM",4,0,2.25
"640","Michael Frazier","SG",25,"HOU",13,0,2.05
"641","Joe Chealey","PG",24,"CHO",4,0,1.85
"642","Josh Gray","PG",26,"NOP",2,0,1.75
"643","Daryl Macon","PG",24,"MIA",4,0,1.35
"644","Jared Harper","PG",22,"PHO",3,0,1.3
"645","William Howard","PF",26,"HOU",2,0,1.25
"646","Zach Norvell","SG",22,"LAL",2,0,1
"647","Caleb Swanigan","C",22,"SAC",7,0,0.85
"648","Isaiah Roby","PF",21,"OKC",3,0,0.35
"649","Jonah Bolden","C",24,"PHI",4,0,0.2
"650","Jacob Evans","SG",22,"MIN",2,0,0
"651","J.P. Macura","SG",24,"CLE",1,0,0
"652","Stanton Kidd","SG",27,"UTA",4,0,-0.3
