"","Name","Position","Age","Team","Games","GS","AFP"
"108","Elfrid Payton","PG",25,"NYK",45,36,40
"109","Jonathan Isaac","PF",22,"ORL",34,32,39.8
"110","Thomas Bryant","C",22,"WAS",46,36,39.7
"111","Jabari Parker","PF",24,"ATL",32,23,39.45
"112","Mike Conley","PG",32,"UTA",47,41,39.4
"113","Steven Adams","C",26,"OKC",63,63,39.25
"114","Juan Hernangómez","PF",24,"MIN",14,14,39.05
"115","Jeff Teague","PG",31,"MIN",34,13,39.05
"116","RJ Barrett","SG",19,"NYK",56,55,38.9
"117","Kendrick Nunn","PG",24,"MIA",67,67,38.85
"118","Victor Oladipo","SG",27,"IND",19,16,38.85
"119","Robert Covington","PF-C",29,"TOT",70,68,38.65
"120","J.J. Redick","SG",35,"NOP",60,36,38.4
"121","Terrence Ross","SG",28,"ORL",69,0,38.4
"122","Jarrett Allen","C",21,"BRK",70,64,38.35
"123","Tyler Herro","SG",20,"MIA",55,8,37.9
"124","Dejounte Murray","PG",23,"SAS",66,58,37.9
"125","Jordan Clarkson","SG",27,"CLE",29,0,37.85
"126","Joe Harris","SF",28,"BRK",69,69,37.65
"127","Robert Covington","PF",29,"MIN",48,47,37.55
"128","Jordan Clarkson","SG",27,"UTA",42,2,37.5
"129","Christian Wood","PF",24,"DET",62,12,37.3
"130","Myles Turner","C",23,"IND",62,62,37.15
"131","Rui Hachimura","PF",21,"WAS",48,48,37.1
"132","Jordan Clarkson","SG",27,"TOT",71,2,37.05
"133","Jabari Parker","PF",24,"TOT",38,23,37
"134","Markelle Fultz","PG",21,"ORL",72,60,36.9
"135","Miles Bridges","SF",21,"CHO",65,64,36.9
"136","Draymond Green","PF",29,"GSW",43,43,36.8
"137","Kevin Huerter","SG",21,"ATL",56,48,36.65
"138","Damion Lee","SG",27,"GSW",49,36,36.2
"139","Jae Crowder","PF",29,"MIA",20,8,36.15
"140","Marvin Bagley III","C",20,"SAC",13,6,36.05
"141","Coby White","PG",19,"CHI",65,1,36
"142","Brook Lopez","C",31,"MIL",68,67,36
"143","Larry Nance Jr.","PF",27,"CLE",56,10,36
"144","Glenn Robinson III","SF",26,"GSW",48,48,35.95
"145","James Johnson","C",32,"MIN",14,1,35.95
"146","Nemanja Bjelica","PF",31,"SAC",72,67,35.9
"147","Dillon Brooks","SG",24,"MEM",73,73,35.7
"148","Jae Crowder","SF-PF",29,"TOT",65,53,35.6
"149","Ish Smith","PG",31,"WAS",68,23,35.6
"150","Taurean Prince","PF",25,"BRK",64,61,35.55
"151","Brandon Clarke","PF",23,"MEM",58,4,35.45
"152","Jae Crowder","SF",29,"MEM",45,45,35.35
"153","Josh Richardson","SG",26,"PHI",55,53,35.35
"154","Jeremy Lamb","SG",27,"IND",46,42,35.15
"155","Jordan McRae","SG",28,"WAS",29,4,35.05
"156","Eric Paschall","PF",23,"GSW",60,26,35.05
"157","Trey Burke","PG",27,"DAL",8,1,34.95
"158","P.J. Washington","PF",21,"CHO",58,57,34.95
"159","Eric Gordon","SF",31,"HOU",36,15,34.45
"160","Joe Ingles","PF",32,"UTA",72,45,34.35
"161","Derrick Favors","C",28,"NOP",51,49,34.25
"162","Justise Winslow","SG",23,"MIA",11,5,34.05
"163","DeAndre Jordan","C",31,"BRK",56,6,34
"164","Reggie Jackson","SG-PG",29,"TOT",31,16,33.95
