"","Name","Position","Age","Team","Games","GS","AFP","eAFP"
"93","Troy Brown Jr.","SF",20,"WAS",69,22,22.45,1549.05
"94","Mikal Bridges","SF",23,"PHO",73,32,20.9,1525.7
"95","Tomáš Satoranský","SG",28,"CHI",65,64,23.4,1521
"96","Marcus Morris","SF-PF",30,"TOT",62,62,24.5,1519
"97","Kendrick Nunn","PG",24,"MIA",67,67,22.65,1517.55
"98","Jaren Jackson Jr.","C",20,"MEM",57,57,26.55,1513.35
"99","Daniel Theis","C",27,"BOS",65,64,23.2,1508
"100","Derrick Rose","PG",31,"DET",50,15,30.15,1507.5
"101","Myles Turner","C",23,"IND",62,62,24.3,1506.6
"102","Tristan Thompson","PF",28,"CLE",57,51,26.3,1499.1
"103","Christian Wood","PF",24,"DET",62,12,24.1,1494.2
"104","Joe Harris","SF",28,"BRK",69,69,21.55,1486.95
"105","Ivica Zubac","C",22,"LAC",72,70,20.5,1476
"106","Jordan Clarkson","SG",27,"TOT",71,2,20.6,1462.6
"107","Terrence Ross","SG",28,"ORL",69,0,21.1,1455.9
"108","Jerami Grant","PF",25,"DEN",71,24,20.45,1451.95
"109","Bogdan Bogdanović","SG",27,"SAC",61,28,23.75,1448.75
"110","Brandon Clarke","PF",23,"MEM",58,4,24.95,1447.1
"111","Jae Crowder","SF-PF",29,"TOT",65,53,22.15,1439.75
"112","Delon Wright","PG",27,"DAL",73,5,19.4,1416.2
"113","Duncan Robinson","SG",25,"MIA",73,68,19.3,1408.9
"114","Serge Ibaka","C",30,"TOR",55,27,25.6,1408
"115","Monte Morris","PG",24,"DEN",73,12,19.15,1397.95
"116","Carmelo Anthony","PF",35,"POR",58,58,23.75,1377.5
"117","Andrew Wiggins","SF",24,"MIN",42,42,32.75,1375.5
"118","Deandre Ayton","C",21,"PHO",38,32,36.15,1373.7
"119","Miles Bridges","SF",21,"CHO",65,64,21.05,1368.25
"120","Clint Capela","C",25,"HOU",39,39,34.9,1361.1
"121","Dario Šarić","PF",25,"PHO",66,51,20.55,1356.3
"122","T.J. McConnell","PG",27,"IND",71,3,19.1,1356.1
"123","Alec Burks","SF",28,"GSW",48,18,28.2,1353.6
"124","Eric Paschall","PF",23,"GSW",60,26,22.5,1350
"125","Norman Powell","SG",26,"TOR",52,26,25.95,1349.4
"126","DeAndre Jordan","C",31,"BRK",56,6,24.05,1346.8
"127","Jeff Teague","PG",31,"TOT",59,17,22.8,1345.2
